Keanu Reeves::3
Carrie-Anne Moss::3
Laurence Fishburne::3
Hugo Weaving::1
Bill Young::0
Lawrence Woodward::0
Eleanor Witt::0
Adryn White::0
Natalie Tjen::0
Robert Taylor::0
Robert Simper::0
Chris Scott::0
Anthony Ray Parker::0
Luke Quinton::0
Janaya Pender::0
Joe Pantoliano::0
David O'Connor::0
Ada Nicodemou::0
Rana Morrison::0
Belinda McClory::0
Bernard Ledger::0
Harry Lawrence::0
Fiona Johnson::0
Nigel Harbach::0
Denni Gordon::0
Paul Goddard::0
Gloria Foster::0
Matt Doran::0
Steve Dodd::0
Marcus Chong::0
Michael Butcher::0
Jeremy Ball::0
David Aston::0
Julian Arahanga::0
Marc Aden::0
